car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
1,1957,"Chevrolet Bel Air",compare,exact 1957,W1,mixed (24% house buyer-paid, rest sold+fee),64,no,52238,41344,76781,6050,192500
1,1957,"Chevrolet Bel Air",compare,exact 1957,W2,mixed (24% house buyer-paid, rest sold+fee),6,yes,,,,,
1,1957,"Chevrolet Bel Air",compare,exact 1957,W3,mixed (24% house buyer-paid, rest sold+fee),102,no,53025,39139,78356,6050,192500
2,1963,"Chevrolet Corvette Sting Ray",compare,adjacent years pooled (1963-1965),W1,mixed (53% house buyer-paid, rest sold+fee),8,no,134900,79767,155155,55650,176960
2,1963,"Chevrolet Corvette Sting Ray",compare,adjacent years pooled (1963-1965),W2,mixed (53% house buyer-paid, rest sold+fee),0,yes,,,,,
2,1963,"Chevrolet Corvette Sting Ray",compare,adjacent years pooled (1963-1965),W3,mixed (53% house buyer-paid, rest sold+fee),17,no,84000,67068,149040,47250,268800
3,1965,"Ford Mustang 289",compare,exact 1965,W1,mixed (11% house buyer-paid, rest sold+fee),113,no,31500,22575,40163,7980,149625
3,1965,"Ford Mustang 289",compare,exact 1965,W2,mixed (11% house buyer-paid, rest sold+fee),20,no,34784,23100,50006,12600,71925
3,1965,"Ford Mustang 289",compare,exact 1965,W3,mixed (11% house buyer-paid, rest sold+fee),133,no,32025,22575,43050,7980,149625
4,1967,"Chevrolet Corvette L71",compare,exact 1967,W1,sold+fee (online),10,no,163000,101719,178500,90825,221500
4,1967,"Chevrolet Corvette L71",compare,exact 1967,W2,sold+fee (online),5,yes,,,,,
4,1967,"Chevrolet Corvette L71",compare,exact 1967,W3,sold+fee (online),19,no,157500,99488,190500,89250,238935
5,1969,"Chevrolet Camaro Z/28",compare,exact 1969,W1,mixed (45% house buyer-paid, rest sold+fee),56,no,105000,80719,139913,52500,330000
5,1969,"Chevrolet Camaro Z/28",compare,exact 1969,W2,mixed (45% house buyer-paid, rest sold+fee),7,yes,,,,,
5,1969,"Chevrolet Camaro Z/28",compare,exact 1969,W3,mixed (45% house buyer-paid, rest sold+fee),103,no,100275,80588,138625,42000,330000
6,1970,"Chevrolet Chevelle SS 396",compare,exact 1970,W1,mixed (48% house buyer-paid, rest sold+fee),36,no,75350,66938,101200,53550,231000
6,1970,"Chevrolet Chevelle SS 396",compare,exact 1970,W2,mixed (48% house buyer-paid, rest sold+fee),5,yes,,,,,
6,1970,"Chevrolet Chevelle SS 396",compare,exact 1970,W3,mixed (48% house buyer-paid, rest sold+fee),63,no,76676,66675,98588,49350,231000
7,1970,"Plymouth Barracuda 340",nohvt,exact 1970,W1,mixed (8% house buyer-paid, rest sold+fee),21,no,70875,63000,96012,34650,207500
7,1970,"Plymouth Barracuda 340",nohvt,exact 1970,W2,mixed (8% house buyer-paid, rest sold+fee),1,yes,,,,,
7,1970,"Plymouth Barracuda 340",nohvt,exact 1970,W3,mixed (8% house buyer-paid, rest sold+fee),37,no,81207,69090,106050,34650,207500
8,1969,"Dodge Charger R/T",compare,adjacent years pooled (1967-1971),W1,n/a,0,yes,,,,,
8,1969,"Dodge Charger R/T",compare,adjacent years pooled (1967-1971),W2,n/a,0,yes,,,,,
8,1969,"Dodge Charger R/T",compare,adjacent years pooled (1967-1971),W3,n/a,0,yes,,,,,
9,1966,"Shelby GT350",compare,adjacent years pooled (1964-1968),W1,n/a,0,yes,,,,,
9,1966,"Shelby GT350",compare,adjacent years pooled (1964-1968),W2,n/a,0,yes,,,,,
9,1966,"Shelby GT350",compare,adjacent years pooled (1964-1968),W3,n/a,0,yes,,,,,
10,1968,"Pontiac GTO",compare,exact 1968,W1,mixed (17% house buyer-paid, rest sold+fee),16,no,47463,39550,53944,28088,67725
10,1968,"Pontiac GTO",compare,exact 1968,W2,mixed (17% house buyer-paid, rest sold+fee),3,yes,,,,,
10,1968,"Pontiac GTO",compare,exact 1968,W3,mixed (17% house buyer-paid, rest sold+fee),29,no,41475,37800,53550,23625,92400
11,1955,"Ford Thunderbird",compare,exact 1955,W1,mixed (10% house buyer-paid, rest sold+fee),32,no,24465,22050,32157,18638,58800
11,1955,"Ford Thunderbird",compare,exact 1955,W2,mixed (10% house buyer-paid, rest sold+fee),8,no,23363,21788,26447,13650,31395
11,1955,"Ford Thunderbird",compare,exact 1955,W3,mixed (10% house buyer-paid, rest sold+fee),63,no,26250,22182,31448,13650,65100
12,1959,"Cadillac Series 62",compare,exact 1959,W1,mixed (39% house buyer-paid, rest sold+fee),11,no,123200,102913,162750,83475,232500
12,1959,"Cadillac Series 62",compare,exact 1959,W2,mixed (39% house buyer-paid, rest sold+fee),2,yes,,,,,
12,1959,"Cadillac Series 62",compare,exact 1959,W3,mixed (39% house buyer-paid, rest sold+fee),23,no,115500,84000,144250,37400,232500
13,1971,"Chevrolet C10 short bed",compare,adjacent years pooled (1969-1973),W1,sold+fee (online),1,yes,,,,,
13,1971,"Chevrolet C10 short bed",compare,adjacent years pooled (1969-1973),W2,sold+fee (online),0,yes,,,,,
13,1971,"Chevrolet C10 short bed",compare,adjacent years pooled (1969-1973),W3,sold+fee (online),1,yes,,,,,
14,1976,"Ford Bronco",compare,exact 1976,W1,sold+fee (online),16,no,69300,61031,146213,48300,169500
14,1976,"Ford Bronco",compare,exact 1976,W2,sold+fee (online),3,yes,,,,,
14,1976,"Ford Bronco",compare,exact 1976,W3,sold+fee (online),27,no,68250,54863,73909,31500,169500
15,1965,"Ford F-100 short bed",compare,adjacent years pooled (1963-1967),W1,mixed (29% house buyer-paid, rest sold+fee),4,yes,,,,,
15,1965,"Ford F-100 short bed",compare,adjacent years pooled (1963-1967),W2,mixed (29% house buyer-paid, rest sold+fee),0,yes,,,,,
15,1965,"Ford F-100 short bed",compare,adjacent years pooled (1963-1967),W3,mixed (29% house buyer-paid, rest sold+fee),7,yes,,,,,
16,1965,"Porsche 356 C",compare,exact 1965,W1,mixed (79% house buyer-paid, rest sold+fee),12,no,182000,167128,207575,136620,472500
16,1965,"Porsche 356 C",compare,exact 1965,W2,mixed (79% house buyer-paid, rest sold+fee),1,yes,,,,,
