car_id,year,make,model,trim,body,generation,year_scope,notes
1,1957,Chevrolet,Bel Air,,convertible,,exact,"283 V8; exclude 6-cyl, hardtop"
2,1963,Chevrolet,Corvette,Sting Ray,coupe,C2,exact,1963 split-window; EXCLUDE fuel injection/fuelie/327-360 titles (report count); exclude convertible
3,1965,Ford,Mustang,289,fastback,1st,exact,"exclude Shelby/GT350/hi-po K-code halos, coupe/convertible"
4,1967,Chevrolet,Corvette,L71,coupe,C2,exact,"427/435 tri-power; exclude L88/L89, 427-390/400, convertible"
5,1969,Chevrolet,Camaro,Z/28,coupe,2nd,exact,includes RS (Z/28 RS); exclude COPO/ZL1/Yenko/SS
6,1970,Chevrolet,Chevelle,SS 396,coupe,,exact,"exclude LS6/SS 454, convertible"
7,1970,Plymouth,Barracuda,340,coupe,,exact,"NO MATCHING HVT CAR (HVT gave AAR); run, exclude from comparison"
8,1969,Dodge,Charger,R/T,coupe,,exact,"440; exclude Hemi 426, Daytona, 500"
9,1966,Shelby,GT350,,fastback,,exact,"1966 Shelby GT350; exclude GT500, GT350H if priced apart"
10,1968,Pontiac,GTO,,coupe,,exact,"exclude Judge, Ram Air IV/V halos, convertible"
11,1955,Ford,Thunderbird,,convertible,,exact,1955 292 V8
12,1959,Cadillac,Series 62,,convertible,,exact,1959 convertible
13,1971,Chevrolet,C10,short bed,pickup,,exact,"exclude restomod/LS-swap/big-block/Cheyenne Super/Blazer, long bed, 4x4"
14,1976,Ford,Bronco,,wagon,1st,exact,1966-77 1st gen; exclude restomod/Baja/restomod
15,1965,Ford,F-100,short bed,,,exact,"styleside short bed; exclude restomod, long bed"
16,1965,Porsche,356,C,coupe,356C,exact,"356C coupe; exclude Cabriolet, SC, earlier A/B"
17,1970,Porsche,911,T,coupe,901,exact,"1970 long-hood 901/F-body; exclude S/E, Targa, hot-rod/outlaw/backdate"
18,1973,Porsche,911,Carrera RS 2.7,coupe,901,exact,Touring (M472); EXCLUDE Lightweight (M471) halo + RSR
19,1966,Jaguar,E-Type,Series 1,roadster,S1,exact,"4.2 S1; exclude 3.8, coupe/2+2, S2/S3"
